KeyLastWriteTime,Path,Key
2018-01-12 09:01:38.071129,\{My Computer}\D:\\BoB\곽경주멘토님\yara\yara-3.7.0-win32,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\3\0 @ 0x0
2018-01-12 09:01:38.071129,\{My Computer}\D:\\BoB\곽경주멘토님\yara\yara-3.7.0-win64,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\3\0 @ 0x0
2018-01-13 07:06:17.722076,\{My Computer}\D:\\BoB\곽경주멘토님\Win_7_analysis,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\3 @ 0x0
2018-02-24 10:07:51.979080,\{My Computer}\D:\\BoB\infoleak case_bob!@#,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6 @ 0x0
2018-02-24 10:07:51.979080,\{My Computer}\D:\\BoB\박상호멘토님,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6 @ 0x0
2018-02-24 10:07:53.693630,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5 @ 0x0
2018-01-25 10:22:03.039303,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Victim_1_Infected,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0 @ 0x0
2018-01-25 10:22:03.039303,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0 @ 0x0
2018-01-13 10:53:47.674454,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1 @ 0x0
2018-01-13 10:53:48.313221,\{My Computer}\D:\\BoB\박상호멘토님\RANSOM\Users\global_001\AppData,S-1-5-21-917639822-3948611260-2289787726-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\0\6\5\0\1\0 @ 0x0
